epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
0,0.23447441031186925,0.6294111905289342,0.9574350666567109,0.9574350666567109,13.0,16.664,3.2197908794092074,1000,1000,(x+(((log((((((((((x)**(0.5)))**(3)))**(-1)))**(3))*x)))**(-1))+x)),(x+(((log((((((((((x)**(0.5)))**(3)))**(-1)))**(3))*x)))**(-1))+x)),[add x add inv log mul n3 inv n3 sqrt x x x],[add x add inv log mul n3 inv n3 sqrt x x x]
1,0.24443807903105133,0.656583034860897,0.9993364775854553,0.9993364775854553,21.0,16.499,3.455393652198734,1000,1000,((((((((((exp((x-(((x-x)-x)*x))))**(-1))/x))**(2))-x)*x))**(0.5))+x),((((((((((exp((x-(((x-x)-x)*x))))**(-1))/x))**(2))-x)*x))**(0.5))+x),[add sqrt mul sub n2 div inv exp sub x mul sub sub x x x x x x x x],[add sqrt mul sub n2 div inv exp sub x mul sub sub x x x x x x x x]
2,0.24381821351686409,0.6368090942509823,0.9993364775854553,0.8275218006414979,16.0,16.183,3.0224168221843795,1000,1000,(((x)**(0.5))+(((log(((((((x*((((x)**(-1)))**(3))))**(-1))*x))**(2))))**(0.5))+x)),((((((((((exp((x-(((x-x)-x)*x))))**(-1))/x))**(2))-x)*x))**(0.5))+x),[add sqrt x add sqrt log n2 mul inv mul x n3 inv x x x],[add sqrt mul sub n2 div inv exp sub x mul sub sub x x x x x x x x]
3,0.2543131086944028,0.6620875733697901,0.9999586234203209,0.9999586234203209,19.0,16.058,3.4108213232073545,1000,1000,((x+x)+((((((((((log((x-x)))**(2))+x))**(3))-x))**(-1))*x)*x)),((x+x)+((((((((((log((x-x)))**(2))+x))**(3))-x))**(-1))*x)*x)),[add add x x mul mul inv sub n3 add n2 log sub x x x x x x],[add add x x mul mul inv sub n3 add n2 log sub x x x x x x]
4,0.25355305818399937,0.6934573222292413,0.9999586234203209,0.9954956306232429,17.0,15.984,4.046499614529131,1000,1000,((((((((((((x)**(0.5)))**(0.5))+(x+(x+x))))**(-1))/x))**(2))+x)+x),((x+x)+((((((((((log((x-x)))**(2))+x))**(3))-x))**(-1))*x)*x)),[add add n2 div inv add sqrt sqrt x add x add x x x x x],[add add x x mul mul inv sub n3 add n2 log sub x x x x x x]
5,0.25020169284582544,0.6678747624780473,1.0,1.0,17.0,16.332,3.4001871146812936,1000,1000,((((x)**(2))*(((x*(((((((x/x))**(2)))**(-1))+x)-x)))**(-1)))+x),((((x)**(2))*(((x*(((((((x/x))**(2)))**(-1))+x)-x)))**(-1)))+x),[add mul n2 x inv mul x sub add inv n2 div x x x x x],[add mul n2 x inv mul x sub add inv n2 div x x x x x]
6,0.2586417952040342,0.6776555911350333,1.0,0.9047543106199283,16.0,16.264,3.295565382349406,1000,1000,(((((((x/exp((((x)**(-1))-((((((x)**(0.5)))**(0.5)))**(-1))))))**(0.5)))**(-1))+x)+x),((((x)**(2))*(((x*(((((((x/x))**(2)))**(-1))+x)-x)))**(-1)))+x),[add add inv sqrt div x exp sub inv x inv sqrt sqrt x x x],[add mul n2 x inv mul x sub add inv n2 div x x x x x]
7,0.26516704783023126,0.7013516941555324,1.0,0.9905534927860921,12.0,16.243,3.0929368000265667,1000,1000,log((((exp(x))**(2))+((((((x)**(-1))-x)+x))**(-1)))),((((x)**(2))*(((x*(((((((x/x))**(2)))**(-1))+x)-x)))**(-1)))+x),[log add n2 exp x inv add sub inv x x x],[add mul n2 x inv mul x sub add inv n2 div x x x x x]
8,0.2744395382091852,0.7293422715536951,1.0,1.0,19.0,16.422,3.8595183722682527,1000,1000,(((((((((((exp((x+(x*x)))+x)+x)+x))**(-1)))**(3)))**(-1))+x)+x),((((x)**(2))*(((x*(((((((x/x))**(2)))**(-1))+x)-x)))**(-1)))+x),[add add inv n3 inv add add add exp add x mul x x x x x x x],[add mul n2 x inv mul x sub add inv n2 div x x x x x]
9,0.26755470695982153,0.6981005077042738,1.0,1.0,15.0,16.287,3.943640395596703,1000,1000,(((((((((x*(((x*(x+x)))**(-1))))**(2)))**(-1)))**(0.5))+x)-x),((((x)**(2))*(((x*(((((((x/x))**(2)))**(-1))+x)-x)))**(-1)))+x),[sub add sqrt inv n2 mul x inv mul x add x x x x],[add mul n2 x inv mul x sub add inv n2 div x x x x x]
