Parameter,Value
Status,completed
Best Formula,"                                       2
    ⎛                                2⎞ 
    ⎜         ⎛        ⎛        0.5⎞⎞ ⎟ 
    ⎜   0.5   ⎜        ⎜⎛ x + x⎞   ⎟⎟ ⎟ 
x + ⎝- x    + ⎝-x + log⎝⎝ℯ     ⎠   ⎠⎠ ⎠ "
R² Score,
Epochs Used,10
Processing Time (ms),25409
Pareto Solutions Count,4
Total Cost,0.02
Configuration Used,config0
Metadata: formula_length,204
Metadata: data_shape,1x8
Metadata: timestamp,2025-09-16T06:08:40.887162
Metadata: is_physical,True
